"official_run_order","run_type","incident_id","run_id","status","execution_exit_code","validation_error_count","guardrail_change_count","elapsed_seconds","execution_started_utc","execution_completed_utc","sealed_input_sha256","run_record_file","run_record_sha256","frozen_archive_sha256","seal_manifest_sha256","seal_record_sha256","schema_validation_report_sha256"
"1","primary","EVAL-001","c060b1c8-8c31-40be-b510-328f2a1e6718","invalid","2","2","10","515.868","2026-07-25T16:56:32.8746393Z","2026-07-25T17:05:11.1541854Z","01c7074cb4d7272b5a76afaf0dd8f7d1974ea80e574d8dfd73aec83893d3214f","EVAL-001_c060b1c8-8c31-40be-b510-328f2a1e6718_invalid.json","60606e8fd0314d05e3ce9464599be4b6c075205d0d8f4d39bc14227998a4230d","bcd179c135619638412ed372f662c5a91033444aaba2c7d59666cbab7a2928c8","173597eeabfcdd924867130499eee48765f4e641fdc7f93c49f99570bda014ba","8730d2924e5eb4dd606262c0b9f319177e0e6d4cb06055680a429d4cb19a3ec6","7c785437dcf4b7a3310a4ecb0bd32762b6ff43f8df0ced9626c49dd45728a8fe"
"2","primary","EVAL-002","d58be983-e456-4ec0-a0f9-dc77de49a04c","invalid","2","1","11","460.712","2026-07-25T17:15:21.3768497Z","2026-07-25T17:23:04.3084906Z","4302f6f20edea6b18f648a713b21c5c1739a9bccdb80a75e8f7f2df13b669758","EVAL-002_d58be983-e456-4ec0-a0f9-dc77de49a04c_invalid.json","8096cb81094fac66a4275436d97688783ef1c03398565145c60fb41b1345ea23","bcd179c135619638412ed372f662c5a91033444aaba2c7d59666cbab7a2928c8","173597eeabfcdd924867130499eee48765f4e641fdc7f93c49f99570bda014ba","8730d2924e5eb4dd606262c0b9f319177e0e6d4cb06055680a429d4cb19a3ec6","7c785437dcf4b7a3310a4ecb0bd32762b6ff43f8df0ced9626c49dd45728a8fe"
"3","primary","EVAL-003","311fde46-7664-4b5b-9562-2feea85185d3","invalid","2","1","12","537.179","2026-07-25T17:30:23.0047469Z","2026-07-25T17:39:23.1640967Z","e5d0b7c8bca6c3adb60b79a56eee130bf279816d906e4536bdb7259fbe339251","EVAL-003_311fde46-7664-4b5b-9562-2feea85185d3_invalid.json","cfe5a13e0ac92d75b069453cc92766ae5ed2881e58fcdb189de5cd69d168d1e5","bcd179c135619638412ed372f662c5a91033444aaba2c7d59666cbab7a2928c8","173597eeabfcdd924867130499eee48765f4e641fdc7f93c49f99570bda014ba","8730d2924e5eb4dd606262c0b9f319177e0e6d4cb06055680a429d4cb19a3ec6","7c785437dcf4b7a3310a4ecb0bd32762b6ff43f8df0ced9626c49dd45728a8fe"
"4","primary","EVAL-004","4a6fe803-0a2b-45a2-a55a-3a4b4616e5da","invalid","2","2","12","537.554","2026-07-25T17:47:05.4726846Z","2026-07-25T17:56:07.9279601Z","473242e77c59a10903de28b41f0b940bb173bc8d64655e3a33369bd1ad98ff5d","EVAL-004_4a6fe803-0a2b-45a2-a55a-3a4b4616e5da_invalid.json","11d717d149f94d03f035e0d84381c606a33d9996bfeb015c29fa1f179ed520c4","bcd179c135619638412ed372f662c5a91033444aaba2c7d59666cbab7a2928c8","173597eeabfcdd924867130499eee48765f4e641fdc7f93c49f99570bda014ba","8730d2924e5eb4dd606262c0b9f319177e0e6d4cb06055680a429d4cb19a3ec6","7c785437dcf4b7a3310a4ecb0bd32762b6ff43f8df0ced9626c49dd45728a8fe"
"5","primary","EVAL-005","4a3e56db-5462-4a0d-9648-f5a5c7cf1d18","invalid","2","1","8","382.216","2026-07-25T18:00:19.8056921Z","2026-07-25T18:06:46.0210105Z","23f4f3a808e2721c0b453c0ca993ca1b9b2534ddc7f4cfd702b849972ae4ae82","EVAL-005_4a3e56db-5462-4a0d-9648-f5a5c7cf1d18_invalid.json","b3d2c98da48f2bcd355f9e4a681dc8e2d8a9c49b2ab68513928c39d744ab3c91","bcd179c135619638412ed372f662c5a91033444aaba2c7d59666cbab7a2928c8","173597eeabfcdd924867130499eee48765f4e641fdc7f93c49f99570bda014ba","8730d2924e5eb4dd606262c0b9f319177e0e6d4cb06055680a429d4cb19a3ec6","7c785437dcf4b7a3310a4ecb0bd32762b6ff43f8df0ced9626c49dd45728a8fe"
"6","primary","EVAL-006","4e0e03ff-a122-4396-a19c-408e3e34d2ad","valid","0","0","14","498.445","2026-07-25T18:11:14.0365556Z","2026-07-25T18:19:35.6819872Z","e68e4f2498e9e0e8c1caf062c076ba320f0f951e583f977d199c348cda130522","EVAL-006_4e0e03ff-a122-4396-a19c-408e3e34d2ad_valid.json","ddfbf2bf8e219dee1dde8837b0c3f76712c81ce4f2ba91469106ae406d16162a","bcd179c135619638412ed372f662c5a91033444aaba2c7d59666cbab7a2928c8","173597eeabfcdd924867130499eee48765f4e641fdc7f93c49f99570bda014ba","8730d2924e5eb4dd606262c0b9f319177e0e6d4cb06055680a429d4cb19a3ec6","7c785437dcf4b7a3310a4ecb0bd32762b6ff43f8df0ced9626c49dd45728a8fe"
"7","primary","EVAL-007","908e2535-d716-479a-9cbf-db45d1796902","invalid","2","1","14","594.426","2026-07-25T18:24:20.7021868Z","2026-07-25T18:34:18.5618073Z","e516ae6d7cdd546e267dff07714d6695fd4eb99ba8a2a1ed9fb76b0c1177c986","EVAL-007_908e2535-d716-479a-9cbf-db45d1796902_invalid.json","1ef15a390b3e20052da48c01223d8f54de7bc17dd22401330147d751e5a1284f","bcd179c135619638412ed372f662c5a91033444aaba2c7d59666cbab7a2928c8","173597eeabfcdd924867130499eee48765f4e641fdc7f93c49f99570bda014ba","8730d2924e5eb4dd606262c0b9f319177e0e6d4cb06055680a429d4cb19a3ec6","7c785437dcf4b7a3310a4ecb0bd32762b6ff43f8df0ced9626c49dd45728a8fe"
"8","primary","EVAL-008","ba7892a2-2f16-401b-ba38-125db5802833","invalid","2","1","12","449.185","2026-07-25T18:43:28.3792944Z","2026-07-25T18:51:00.8455774Z","c6d9c4054ea9749c7b80658253e400f1afd022ab30040bf5efa13c818d74c1e0","EVAL-008_ba7892a2-2f16-401b-ba38-125db5802833_invalid.json","cb437f8d7812eeccb9a8adb226b19ce327556b14c4b5411dd3d34014e24389dd","bcd179c135619638412ed372f662c5a91033444aaba2c7d59666cbab7a2928c8","173597eeabfcdd924867130499eee48765f4e641fdc7f93c49f99570bda014ba","8730d2924e5eb4dd606262c0b9f319177e0e6d4cb06055680a429d4cb19a3ec6","7c785437dcf4b7a3310a4ecb0bd32762b6ff43f8df0ced9626c49dd45728a8fe"
"9","primary","EVAL-009","c1fda30c-43a3-4bb4-9cb2-97e37ab7d95d","invalid","2","2","14","568.127","2026-07-25T18:56:10.6168853Z","2026-07-25T19:05:41.5749360Z","486410d553aba42acbc0ea3902aa0feab0889de47bffaeacb6198df625653260","EVAL-009_c1fda30c-43a3-4bb4-9cb2-97e37ab7d95d_invalid.json","cd42702b12302ddd1cda9cbb56f49f87a3391451b9276088c7975470ea00ee2c","bcd179c135619638412ed372f662c5a91033444aaba2c7d59666cbab7a2928c8","173597eeabfcdd924867130499eee48765f4e641fdc7f93c49f99570bda014ba","8730d2924e5eb4dd606262c0b9f319177e0e6d4cb06055680a429d4cb19a3ec6","7c785437dcf4b7a3310a4ecb0bd32762b6ff43f8df0ced9626c49dd45728a8fe"
"10","primary","EVAL-010","ee109f9e-ce38-4a2c-beb4-a55b1391342b","valid","0","0","12","522.336","2026-07-25T19:11:18.1527511Z","2026-07-25T19:20:04.6704763Z","e9ead37112115e7ee31fd199d19714d53ac45f9ee1eb0b0def6850a08b3459c9","EVAL-010_ee109f9e-ce38-4a2c-beb4-a55b1391342b_valid.json","4d99fc6b3017b8587ffeac7f879f05725befbd5978ab1a9c66bae7649c849e2b","bcd179c135619638412ed372f662c5a91033444aaba2c7d59666cbab7a2928c8","173597eeabfcdd924867130499eee48765f4e641fdc7f93c49f99570bda014ba","8730d2924e5eb4dd606262c0b9f319177e0e6d4cb06055680a429d4cb19a3ec6","7c785437dcf4b7a3310a4ecb0bd32762b6ff43f8df0ced9626c49dd45728a8fe"
