"Incident","Severity","Category","PrimaryArea","PrimaryResolver","Runbook","RequiredActions","AdditionalAreas","CoordinationGroups","ScenarioSHA256","ReferenceSHA256","Result"
"EVAL-001","Critical","CAT-AVAILABILITY","SVC-WEB","RG-DIGITAL","RB-001","5","0","1","01c7074cb4d7272b5a76afaf0dd8f7d1974ea80e574d8dfd73aec83893d3214f","06c5771ed46dd44ae6be56ad64f997efb2efec242098ec51b28929346d394774","PASS"
"EVAL-002","Medium","CAT-AVAILABILITY","SVC-NOTIFY","RG-MESSAGING","RB-001","5","0","0","4302f6f20edea6b18f648a713b21c5c1739a9bccdb80a75e8f7f2df13b669758","28aa06b2f510afb92dae0986541daa90a6658a843807fb768f98a675cff79241","PASS"
"EVAL-003","High","CAT-PERFORMANCE","SVC-API","RG-NETWORK","RB-002","5","0","0","e5d0b7c8bca6c3adb60b79a56eee130bf279816d906e4536bdb7259fbe339251","854a5050637d9e215b6e0b34e3749a0e945f8d000db4938d4189017fd56d3bc8","PASS"
"EVAL-004","Medium","CAT-PERFORMANCE","SVC-INVENTORY","RG-COMMERCE","RB-002","4","0","0","473242e77c59a10903de28b41f0b940bb173bc8d64655e3a33369bd1ad98ff5d","1e477f5a1753a6f11419695cfdb644efa60b49af92feaa9034dc418a5c3401ab","PASS"
"EVAL-005","Low","CAT-APPLICATION","SVC-WEB","RG-DIGITAL","RB-003","4","0","0","23f4f3a808e2721c0b453c0ca993ca1b9b2534ddc7f4cfd702b849972ae4ae82","afda54308a592529587be93e8552c836f86a4e378dedabb105c425a41efb199d","PASS"
"EVAL-006","High","CAT-APPLICATION","SVC-PAYMENT","RG-PAYMENTS","RB-003","4","0","0","e68e4f2498e9e0e8c1caf062c076ba320f0f951e583f977d199c348cda130522","f63e79ccdaa6f098efb94e336be4814499ee9f17f6c7804f2099ae7a0a00531c","PASS"
"EVAL-007","Critical","CAT-INFRA-NETWORK","PLT-COMPUTE","RG-INFRA","RB-004","5","3","1","e516ae6d7cdd546e267dff07714d6695fd4eb99ba8a2a1ed9fb76b0c1177c986","8a5e387359f68c2bac8c35ec61dde993e451d90bff1ef34a4db86bb7fa57a1e8","PASS"
"EVAL-008","Low","CAT-INFRA-NETWORK","PLT-EDGE","RG-NETWORK","RB-005","5","0","0","c6d9c4054ea9749c7b80658253e400f1afd022ab30040bf5efa13c818d74c1e0","9313e907682b69182ae342866dc494f4062b7327be5b620a34f99fd29c8b30cb","PASS"
"EVAL-009","High","CAT-DEPENDENCY-CONFIG","PLT-DATABASE","RG-DATA","RB-006","5","1","0","486410d553aba42acbc0ea3902aa0feab0889de47bffaeacb6198df625653260","e0451e363072a840eea445d65ae69e2ca469ea581f89952017ed6c15e0d70547","PASS"
"EVAL-010","Medium","CAT-DEPENDENCY-CONFIG","PLT-STORAGE","RG-INFRA","RB-011","5","1","0","e9ead37112115e7ee31fd199d19714d53ac45f9ee1eb0b0def6850a08b3459c9","b52ae8d247bb4f33525e4488fae96a265b415b1d6f69cb22519510b878683c79","PASS"
"EVAL-011","High","CAT-PERFORMANCE","SVC-API","RG-OPS","RB-012","5","2","0","dbd99d3688702f4a6f41f74a535d76150b728bd8150a847c278096bb1f3b20ba","a0993def641e41eddbcf612b115528862a9fbefa696ab0fab4fc1e1ae5b5eed0","PASS"
"EVAL-012","Medium","CAT-PERFORMANCE","SVC-API","RG-NETWORK","RB-002","4","0","0","d156518ff0fc8835fbda0f2295b5a60c35f8610b62e2d1a36d2e2bee570367b2","0066da5fb8d5ffb9c3598ad46ae038e4a9d217839ad0474c550d79c755056744","PASS"
