"official_run_order","repeat_run_order","run_type","incident_id","primary_run_id","repeat_run_id","status","execution_exit_code","validation_error_count","guardrail_change_count","elapsed_seconds","execution_started_utc","execution_completed_utc","sealed_input_sha256","run_record_file","run_record_sha256","primary_execution_ledger_sha256","primary_output_manifest_sha256","primary_completion_record_sha256","frozen_archive_sha256","evaluation_input_manifest_sha256","evaluation_seal_record_sha256","schema_validation_report_sha256"
"13","1","repeat","EVAL-001","c060b1c8-8c31-40be-b510-328f2a1e6718","6363d215-e9b4-49be-88db-65164ac50e64","invalid","2","2","10","435.834","2026-07-26T08:31:02.8277185Z","2026-07-26T08:38:20.6272716Z","01c7074cb4d7272b5a76afaf0dd8f7d1974ea80e574d8dfd73aec83893d3214f","EVAL-001_6363d215-e9b4-49be-88db-65164ac50e64_invalid.json","20444ccb5a8dcf1795d142b8b37503aa30fc0dac68409556638a7312b34ed342","25848bc60848089120fde2eb660ef5f6950d7ae42e0235d690bc4e8801971498","60389f622e74821717976f3104d4c739d8c4fd6feeb6b47a08a747de1105b87a","f706bd02eaa77a0b5b019d65e718512df7b276dfba70b0d12bfff6dd3be575b5","bcd179c135619638412ed372f662c5a91033444aaba2c7d59666cbab7a2928c8","173597eeabfcdd924867130499eee48765f4e641fdc7f93c49f99570bda014ba","8730d2924e5eb4dd606262c0b9f319177e0e6d4cb06055680a429d4cb19a3ec6","7c785437dcf4b7a3310a4ecb0bd32762b6ff43f8df0ced9626c49dd45728a8fe"
"14","2","repeat","EVAL-002","d58be983-e456-4ec0-a0f9-dc77de49a04c","4e1f20e5-c929-4826-b0cf-e8cd83179dd0","invalid","2","1","11","391.769","2026-07-26T08:45:20.8500866Z","2026-07-26T08:51:55.2728032Z","4302f6f20edea6b18f648a713b21c5c1739a9bccdb80a75e8f7f2df13b669758","EVAL-002_4e1f20e5-c929-4826-b0cf-e8cd83179dd0_invalid.json","f0f6230c57acdbc593d6e307de5bb21a5e993b6b3b54a060a95b1c14aceb820e","25848bc60848089120fde2eb660ef5f6950d7ae42e0235d690bc4e8801971498","60389f622e74821717976f3104d4c739d8c4fd6feeb6b47a08a747de1105b87a","f706bd02eaa77a0b5b019d65e718512df7b276dfba70b0d12bfff6dd3be575b5","bcd179c135619638412ed372f662c5a91033444aaba2c7d59666cbab7a2928c8","173597eeabfcdd924867130499eee48765f4e641fdc7f93c49f99570bda014ba","8730d2924e5eb4dd606262c0b9f319177e0e6d4cb06055680a429d4cb19a3ec6","7c785437dcf4b7a3310a4ecb0bd32762b6ff43f8df0ced9626c49dd45728a8fe"
"15","3","repeat","EVAL-003","311fde46-7664-4b5b-9562-2feea85185d3","f2a800b3-9526-4c3b-8f62-9fea1313b0b5","invalid","2","1","12","445.043","2026-07-26T08:57:07.5242933Z","2026-07-26T09:04:34.9831931Z","e5d0b7c8bca6c3adb60b79a56eee130bf279816d906e4536bdb7259fbe339251","EVAL-003_f2a800b3-9526-4c3b-8f62-9fea1313b0b5_invalid.json","0756ce885152899b9f92299f15a8fc85c66f67d2a74919fd76d0d67c8442e25b","25848bc60848089120fde2eb660ef5f6950d7ae42e0235d690bc4e8801971498","60389f622e74821717976f3104d4c739d8c4fd6feeb6b47a08a747de1105b87a","f706bd02eaa77a0b5b019d65e718512df7b276dfba70b0d12bfff6dd3be575b5","bcd179c135619638412ed372f662c5a91033444aaba2c7d59666cbab7a2928c8","173597eeabfcdd924867130499eee48765f4e641fdc7f93c49f99570bda014ba","8730d2924e5eb4dd606262c0b9f319177e0e6d4cb06055680a429d4cb19a3ec6","7c785437dcf4b7a3310a4ecb0bd32762b6ff43f8df0ced9626c49dd45728a8fe"
"16","4","repeat","EVAL-004","4a6fe803-0a2b-45a2-a55a-3a4b4616e5da","813c4dfb-2bda-484d-89c9-cbf990f98059","invalid","2","2","12","445.606","2026-07-26T09:09:01.8249623Z","2026-07-26T09:16:30.3290139Z","473242e77c59a10903de28b41f0b940bb173bc8d64655e3a33369bd1ad98ff5d","EVAL-004_813c4dfb-2bda-484d-89c9-cbf990f98059_invalid.json","7c686090a36b6d93de741645d8d9ee49fc72fb6aecf2a16e96cba2c42c4b4e79","25848bc60848089120fde2eb660ef5f6950d7ae42e0235d690bc4e8801971498","60389f622e74821717976f3104d4c739d8c4fd6feeb6b47a08a747de1105b87a","f706bd02eaa77a0b5b019d65e718512df7b276dfba70b0d12bfff6dd3be575b5","bcd179c135619638412ed372f662c5a91033444aaba2c7d59666cbab7a2928c8","173597eeabfcdd924867130499eee48765f4e641fdc7f93c49f99570bda014ba","8730d2924e5eb4dd606262c0b9f319177e0e6d4cb06055680a429d4cb19a3ec6","7c785437dcf4b7a3310a4ecb0bd32762b6ff43f8df0ced9626c49dd45728a8fe"
"17","5","repeat","EVAL-005","4a3e56db-5462-4a0d-9648-f5a5c7cf1d18","ff479d7e-2ee1-4310-8101-61b790d95e5c","invalid","2","1","8","374.764","2026-07-26T09:20:25.9363799Z","2026-07-26T09:26:43.7742836Z","23f4f3a808e2721c0b453c0ca993ca1b9b2534ddc7f4cfd702b849972ae4ae82","EVAL-005_ff479d7e-2ee1-4310-8101-61b790d95e5c_invalid.json","30914c5e4b92d71cd378081c5f7ec67cc3768959764f97eb5764c797595d1137","25848bc60848089120fde2eb660ef5f6950d7ae42e0235d690bc4e8801971498","60389f622e74821717976f3104d4c739d8c4fd6feeb6b47a08a747de1105b87a","f706bd02eaa77a0b5b019d65e718512df7b276dfba70b0d12bfff6dd3be575b5","bcd179c135619638412ed372f662c5a91033444aaba2c7d59666cbab7a2928c8","173597eeabfcdd924867130499eee48765f4e641fdc7f93c49f99570bda014ba","8730d2924e5eb4dd606262c0b9f319177e0e6d4cb06055680a429d4cb19a3ec6","7c785437dcf4b7a3310a4ecb0bd32762b6ff43f8df0ced9626c49dd45728a8fe"
"18","6","repeat","EVAL-006","4e0e03ff-a122-4396-a19c-408e3e34d2ad","7deaae91-0b1d-4b3e-97c5-13f42b72b162","valid","0","0","13","437.959","2026-07-26T09:32:22.9191420Z","2026-07-26T09:39:43.4213170Z","e68e4f2498e9e0e8c1caf062c076ba320f0f951e583f977d199c348cda130522","EVAL-006_7deaae91-0b1d-4b3e-97c5-13f42b72b162_valid.json","ce47b1cd267e480e4a6ad84b516ba74656a522a3897f0f9bb321f5b743b54cf0","25848bc60848089120fde2eb660ef5f6950d7ae42e0235d690bc4e8801971498","60389f622e74821717976f3104d4c739d8c4fd6feeb6b47a08a747de1105b87a","f706bd02eaa77a0b5b019d65e718512df7b276dfba70b0d12bfff6dd3be575b5","bcd179c135619638412ed372f662c5a91033444aaba2c7d59666cbab7a2928c8","173597eeabfcdd924867130499eee48765f4e641fdc7f93c49f99570bda014ba","8730d2924e5eb4dd606262c0b9f319177e0e6d4cb06055680a429d4cb19a3ec6","7c785437dcf4b7a3310a4ecb0bd32762b6ff43f8df0ced9626c49dd45728a8fe"
"19","7","repeat","EVAL-007","908e2535-d716-479a-9cbf-db45d1796902","f026e8c3-ee87-445a-bbe0-081e599c4772","invalid","2","1","14","554.637","2026-07-26T09:43:39.1748079Z","2026-07-26T09:52:56.3743340Z","e516ae6d7cdd546e267dff07714d6695fd4eb99ba8a2a1ed9fb76b0c1177c986","EVAL-007_f026e8c3-ee87-445a-bbe0-081e599c4772_invalid.json","310ce5d35cc71771488c21eff35b7fa86a7667230b09ae8c3e9c5bf47378fb13","25848bc60848089120fde2eb660ef5f6950d7ae42e0235d690bc4e8801971498","60389f622e74821717976f3104d4c739d8c4fd6feeb6b47a08a747de1105b87a","f706bd02eaa77a0b5b019d65e718512df7b276dfba70b0d12bfff6dd3be575b5","bcd179c135619638412ed372f662c5a91033444aaba2c7d59666cbab7a2928c8","173597eeabfcdd924867130499eee48765f4e641fdc7f93c49f99570bda014ba","8730d2924e5eb4dd606262c0b9f319177e0e6d4cb06055680a429d4cb19a3ec6","7c785437dcf4b7a3310a4ecb0bd32762b6ff43f8df0ced9626c49dd45728a8fe"
"20","8","repeat","EVAL-008","ba7892a2-2f16-401b-ba38-125db5802833","0c4f44fd-f3ac-47bc-bbe3-2c2c6a6ace9d","invalid","2","1","12","424.693","2026-07-26T09:58:42.4384057Z","2026-07-26T10:05:49.6135164Z","c6d9c4054ea9749c7b80658253e400f1afd022ab30040bf5efa13c818d74c1e0","EVAL-008_0c4f44fd-f3ac-47bc-bbe3-2c2c6a6ace9d_invalid.json","959e0d93bc22a667e04ce7fb85a05b844288ddfc4eeb285a7d41426876f8815b","25848bc60848089120fde2eb660ef5f6950d7ae42e0235d690bc4e8801971498","60389f622e74821717976f3104d4c739d8c4fd6feeb6b47a08a747de1105b87a","f706bd02eaa77a0b5b019d65e718512df7b276dfba70b0d12bfff6dd3be575b5","bcd179c135619638412ed372f662c5a91033444aaba2c7d59666cbab7a2928c8","173597eeabfcdd924867130499eee48765f4e641fdc7f93c49f99570bda014ba","8730d2924e5eb4dd606262c0b9f319177e0e6d4cb06055680a429d4cb19a3ec6","7c785437dcf4b7a3310a4ecb0bd32762b6ff43f8df0ced9626c49dd45728a8fe"
"21","9","repeat","EVAL-009","c1fda30c-43a3-4bb4-9cb2-97e37ab7d95d","cca966e9-6235-41d9-9583-e7488a2dd8f0","invalid","2","2","14","518.743","2026-07-26T10:13:44.0771015Z","2026-07-26T10:22:24.5634858Z","486410d553aba42acbc0ea3902aa0feab0889de47bffaeacb6198df625653260","EVAL-009_cca966e9-6235-41d9-9583-e7488a2dd8f0_invalid.json","bfe491475c6bcd6e8ce6ac33b7af7899eb1830ec6caf0bdd98c7429d883617a6","25848bc60848089120fde2eb660ef5f6950d7ae42e0235d690bc4e8801971498","60389f622e74821717976f3104d4c739d8c4fd6feeb6b47a08a747de1105b87a","f706bd02eaa77a0b5b019d65e718512df7b276dfba70b0d12bfff6dd3be575b5","bcd179c135619638412ed372f662c5a91033444aaba2c7d59666cbab7a2928c8","173597eeabfcdd924867130499eee48765f4e641fdc7f93c49f99570bda014ba","8730d2924e5eb4dd606262c0b9f319177e0e6d4cb06055680a429d4cb19a3ec6","7c785437dcf4b7a3310a4ecb0bd32762b6ff43f8df0ced9626c49dd45728a8fe"
"22","10","repeat","EVAL-010","ee109f9e-ce38-4a2c-beb4-a55b1391342b","97443c27-5adb-49b8-bbe8-b25baf5ae567","valid","0","0","12","601.378","2026-07-26T10:27:32.0638909Z","2026-07-26T10:37:36.2375033Z","e9ead37112115e7ee31fd199d19714d53ac45f9ee1eb0b0def6850a08b3459c9","EVAL-010_97443c27-5adb-49b8-bbe8-b25baf5ae567_valid.json","7bb65d920b42b0ca2b236b69d96ba1eb603773c622c0ec8b71038c9f7b9a783d","25848bc60848089120fde2eb660ef5f6950d7ae42e0235d690bc4e8801971498","60389f622e74821717976f3104d4c739d8c4fd6feeb6b47a08a747de1105b87a","f706bd02eaa77a0b5b019d65e718512df7b276dfba70b0d12bfff6dd3be575b5","bcd179c135619638412ed372f662c5a91033444aaba2c7d59666cbab7a2928c8","173597eeabfcdd924867130499eee48765f4e641fdc7f93c49f99570bda014ba","8730d2924e5eb4dd606262c0b9f319177e0e6d4cb06055680a429d4cb19a3ec6","7c785437dcf4b7a3310a4ecb0bd32762b6ff43f8df0ced9626c49dd45728a8fe"
