"official_run_order","run_type","incident_id","run_id","status","execution_exit_code","validation_error_count","guardrail_change_count","elapsed_seconds","run_record_file","bytes","sha256","read_only"
"1","primary","EVAL-001","c060b1c8-8c31-40be-b510-328f2a1e6718","invalid","2","2","10","515.868","EVAL-001_c060b1c8-8c31-40be-b510-328f2a1e6718_invalid.json","29722","60606e8fd0314d05e3ce9464599be4b6c075205d0d8f4d39bc14227998a4230d","True"
"2","primary","EVAL-002","d58be983-e456-4ec0-a0f9-dc77de49a04c","invalid","2","1","11","460.712","EVAL-002_d58be983-e456-4ec0-a0f9-dc77de49a04c_invalid.json","32571","8096cb81094fac66a4275436d97688783ef1c03398565145c60fb41b1345ea23","True"
"3","primary","EVAL-003","311fde46-7664-4b5b-9562-2feea85185d3","invalid","2","1","12","537.179","EVAL-003_311fde46-7664-4b5b-9562-2feea85185d3_invalid.json","33498","cfe5a13e0ac92d75b069453cc92766ae5ed2881e58fcdb189de5cd69d168d1e5","True"
"4","primary","EVAL-004","4a6fe803-0a2b-45a2-a55a-3a4b4616e5da","invalid","2","2","12","537.554","EVAL-004_4a6fe803-0a2b-45a2-a55a-3a4b4616e5da_invalid.json","34398","11d717d149f94d03f035e0d84381c606a33d9996bfeb015c29fa1f179ed520c4","True"
"5","primary","EVAL-005","4a3e56db-5462-4a0d-9648-f5a5c7cf1d18","invalid","2","1","8","382.216","EVAL-005_4a3e56db-5462-4a0d-9648-f5a5c7cf1d18_invalid.json","25320","b3d2c98da48f2bcd355f9e4a681dc8e2d8a9c49b2ab68513928c39d744ab3c91","True"
"6","primary","EVAL-006","4e0e03ff-a122-4396-a19c-408e3e34d2ad","valid","0","0","14","498.445","EVAL-006_4e0e03ff-a122-4396-a19c-408e3e34d2ad_valid.json","36754","ddfbf2bf8e219dee1dde8837b0c3f76712c81ce4f2ba91469106ae406d16162a","True"
"7","primary","EVAL-007","908e2535-d716-479a-9cbf-db45d1796902","invalid","2","1","14","594.426","EVAL-007_908e2535-d716-479a-9cbf-db45d1796902_invalid.json","37879","1ef15a390b3e20052da48c01223d8f54de7bc17dd22401330147d751e5a1284f","True"
"8","primary","EVAL-008","ba7892a2-2f16-401b-ba38-125db5802833","invalid","2","1","12","449.185","EVAL-008_ba7892a2-2f16-401b-ba38-125db5802833_invalid.json","31563","cb437f8d7812eeccb9a8adb226b19ce327556b14c4b5411dd3d34014e24389dd","True"
"9","primary","EVAL-009","c1fda30c-43a3-4bb4-9cb2-97e37ab7d95d","invalid","2","2","14","568.127","EVAL-009_c1fda30c-43a3-4bb4-9cb2-97e37ab7d95d_invalid.json","39589","cd42702b12302ddd1cda9cbb56f49f87a3391451b9276088c7975470ea00ee2c","True"
"10","primary","EVAL-010","ee109f9e-ce38-4a2c-beb4-a55b1391342b","valid","0","0","12","522.336","EVAL-010_ee109f9e-ce38-4a2c-beb4-a55b1391342b_valid.json","35198","4d99fc6b3017b8587ffeac7f879f05725befbd5978ab1a9c66bae7649c849e2b","True"
"11","primary","EVAL-011","b1148d38-0a05-416e-94f4-839c2cc76e58","invalid","2","1","14","603.915","EVAL-011_b1148d38-0a05-416e-94f4-839c2cc76e58_invalid.json","40396","e02eeba68feb2edfbe21f4246efa9aec171c680745b07dc0e4d35b91a7da53ce","True"
"12","primary","EVAL-012","858da7e3-56d1-421d-bc75-fdb86b6ddbfc","valid","0","0","13","707.653","EVAL-012_858da7e3-56d1-421d-bc75-fdb86b6ddbfc_valid.json","39354","d864bb0c5f3dd2484923a76c4f5a490b0579dff13c55fdb89a313a1b8a508cc3","True"
